"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","get started link","chromium","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","1155","has title","chromium","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","811","@regression User can login successfully","chromium","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","31","@regression Should return 404 when user does not exist","api","2026-07-26","passed","2026-07-26","Users API Negative Tests","api\errors\users-errors.spec.ts","",""
"","5145","@regression User can login successfully","firefox","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","7642","get started link","firefox","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","16","@regression Should delete user successfully","api","2026-07-26","passed","2026-07-26","@regression Users CRUD API","api\crud\users-crud.spec.ts","",""
"","472","@smoke User cannot login with invalid password","chromium","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","35","@regression Should retrieve user by id successfully","api","2026-07-26","passed","2026-07-26","@regression Users CRUD API","api\crud\users-crud.spec.ts","",""
"","4241","get started link","webkit","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","2687","has title","webkit","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","18","Should retrieve user profile","api","2026-07-26","passed","2026-07-26","","api\profile.spec.ts","",""
"","1252","@smoke User cannot login with invalid password","webkit","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","2361","@regression User can login successfully","webkit","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","49","@regression Should reject login with invalid credentials","api","2026-07-26","passed","2026-07-26","Authentication API","api\auth\auth.spec.ts","",""
"","38","@regression Should update user successfully","api","2026-07-26","passed","2026-07-26","@regression Users CRUD API","api\crud\users-crud.spec.ts","",""
"","4733","has title","firefox","2026-07-26","passed","2026-07-26","","example.spec.ts","",""
"","27","@regression Should reject profile access without token","api","2026-07-26","passed","2026-07-26","Profile Authorization API","api\auth\profile.spec.ts","",""
"","13","@regression Should retrieve users successfully","api","2026-07-26","passed","2026-07-26","User Management API Tests","api\users.spec.ts","",""
"","65","@smoke Should access profile with valid token","api","2026-07-26","passed","2026-07-26","Profile Authorization API","api\auth\profile.spec.ts","",""
"","6045","User cannot login with invalid password","firefox","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","50","@regression Should create user successfully","api","2026-07-26","passed","2026-07-26","@regression Users CRUD API","api\crud\users-crud.spec.ts","",""
"","1753","User cannot login with invalid password","webkit","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","2152","@smoke User cannot login with invalid password","firefox","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","719","User cannot login with invalid password","chromium","2026-07-26","passed","2026-07-26","Login functionality","ui\login.spec.ts","",""
"","190","@smoke Should login successfully with valid credentials","api","2026-07-26","passed","2026-07-26","Authentication API","api\auth\auth.spec.ts","",""
