"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","@regression Should reject profile access without token","api","2026-07-28","passed","2026-07-28","Profile Authorization API","api/auth/profile.spec.ts","",""
"","16","@regression Should delete user successfully","api","2026-07-28","passed","2026-07-28","@regression Users CRUD API","api/crud/users-crud.spec.ts","",""
"","35","@regression Should reject login with invalid credentials","api","2026-07-28","passed","2026-07-28","Authentication API","api/auth/auth.spec.ts","",""
"","1283","@regression User can login successfully","webkit","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","22","@regression Should return 404 when user does not exist","api","2026-07-28","passed","2026-07-28","Users API Negative Tests","api/errors/users-errors.spec.ts","",""
"","1549","get started link","chromium","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","27","@regression Should update user successfully","api","2026-07-28","passed","2026-07-28","@regression Users CRUD API","api/crud/users-crud.spec.ts","",""
"","2449","has title","firefox","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","11","@regression Should retrieve users successfully","api","2026-07-28","passed","2026-07-28","User Management API Tests","api/users.spec.ts","",""
"","8106","has title","webkit","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","95","@smoke Should login successfully with valid credentials","api","2026-07-28","passed","2026-07-28","Authentication API","api/auth/auth.spec.ts","",""
"","508","@regression User can login successfully","chromium","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","63","@smoke Should access profile with valid token","api","2026-07-28","passed","2026-07-28","Profile Authorization API","api/auth/profile.spec.ts","",""
"","393","@smoke User cannot login with invalid password","chromium","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","9095","get started link","webkit","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","1215","has title","chromium","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","877","@smoke User cannot login with invalid password","webkit","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","1116","@regression User can login successfully","firefox","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","30","@regression Should retrieve user by id successfully","api","2026-07-28","passed","2026-07-28","@regression Users CRUD API","api/crud/users-crud.spec.ts","",""
"","3162","get started link","firefox","2026-07-28","passed","2026-07-28","","example.spec.ts","",""
"","32","@regression Should create user successfully","api","2026-07-28","passed","2026-07-28","@regression Users CRUD API","api/crud/users-crud.spec.ts","",""
"","880","@smoke User cannot login with invalid password","firefox","2026-07-28","passed","2026-07-28","Login functionality","ui/login.spec.ts","",""
"","25","Should retrieve user profile","api","2026-07-28","passed","2026-07-28","","api/profile.spec.ts","",""
